Index,Metropolitian Area/City,Country,Official est. GDP(billion US$),Metropolitian Population,Metropolitian_Area,City
1,A Coruña metropolitan area,Spain,28819.0,1121815,A Coruña,
2,Aachen,Germany,24296.0,249070,Aachen,
3,Aalborg,Denmark,31855.0,219487,Aalborg,
4,Aarhus,Denmark,54927.0,352751,Aarhus,
5,"Abbotsford, British Columbia",Canada,6239.0,203907,Abbotsford,British Columbia
6,"Aberdeen, Scotland",United Kingdom,230.0,489840,Aberdeen,Scotland
7,Abidjan,Ivory Coast,27.0,5600000,Abidjan,
8,"Abilene, TX MSA",United States,9469.0,179308,Abilene,TX MSA
9,Abu Dhabi metropolitan area,United Arab Emirates,151073.0,1660000,Abu Dhabi,
10,Adelaide,Australia,64461.0,1344368,Adelaide,
11,Ahmedabad,India,80.0,9300000,Ahmedabad,
12,Aix-Marseille-Provence Metropolis,France,135038.0,1911657,Aix-Marseille-Provence Metropolis,
13,"Akron, OH MSA",United States,44562.0,697627,Akron,OH MSA
14,"Albany-Lebanon, OR MSA",United States,6108.0,130467,Albany-Lebanon,OR MSA
15,"Albany-Schenectady-Troy, NY MSA",United States,80303.0,904617,Albany-Schenectady-Troy,NY MSA
16,"Albany, GA MSA",United States,7312.0,145786,Albany,GA MSA
17,"Albuquerque, NM MSA",United States,53862.0,919543,Albuquerque,NM MSA
18,Alexandria,Egypt,36000.0,5950000,Alexandria,
19,"Alexandria, LA MSA",United States,7460.0,149189,Alexandria,LA MSA
20,Alicante metropolitan area,Spain,38851.0,1915282,Alicante,
21,"Allentown-Bethlehem-Easton, PA-NJ MSA",United States,54323.0,871229,Allentown-Bethlehem-Easton,PA-NJ MSA
22,Almaty,Kazakhstan,41485.0,2250000,Almaty,
23,"Altoona, PA MSA",United States,7238.0,121032,Altoona,PA MSA
24,Alxa League,China,4419.0,262361,Alxa League,
25,"Amarillo, TX MSA",United States,17376.0,271171,Amarillo,TX MSA
26,"Ames, IA MSA",United States,8104.0,125767,Ames,IA MSA
27,Amiens,France,19418.0,304331,Amiens,
28,Amsterdam metropolitan area,Netherlands,237841.0,2890428,Amsterdam,
29,Anápolis,Brazil,6740.0,334623,Anápolis,
30,"Anchorage, AK MSA",United States,31570.0,400470,Anchorage,AK MSA
31,Angers Loire Métropole,France,29379.0,394256,Angers Loire Métropole,
32,Ankara,Türkiye,7483.0,5150000,Ankara,
33,"Ann Arbor, MI MSA",United States,30556.0,366376,Ann Arbor,MI MSA
34,Annecy,France,2998.0,183697,Annecy,
35,"Anniston-Oxford, AL MSA",United States,5466.0,115788,Anniston-Oxford,AL MSA
36,Anshan,China,80968.0,3325372,Anshan,
37,Antwerp metropolitan area,Belgium,66063.0,1230000,Antwerp,
38,"Appleton, Wisconsin metropolitan area",United States,16977.0,244845,Appleton,Wisconsin metropolitan area
39,Arnhem–Nijmegen metropolitan area,Netherlands,34621.0,774506,Arnhem–Nijmegen,
40,"Asheville, NC MSA",United States,26228.0,476072,Asheville,NC MSA
41,Astana,Kazakhstan,23115.0,1350228,Astana,
42,Asturias metropolitan area,Spain,27152.0,1009088,Asturias,
43,Athens Metropolitan Area,Greece,85809.0,3526887,Athens Metropolitan Area,
44,"Athens-Clarke County, GA MSA",United States,12628.0,220405,Athens-Clarke County,GA MSA
45,"Atlanta-Sandy Springs-Alpharetta, GA MSA",United States,525888.0,6222106,Atlanta-Sandy Springs-Alpharetta,GA MSA
46,"Atlantic City-Hammonton, NJ MSA",United States,16851.0,275638,Atlantic City-Hammonton,NJ MSA
47,"Auburn-Opelika, AL MSA",United States,8256.0,180773,Auburn-Opelika,AL MSA
48,Auckland,New Zealand,81227.0,1470000,Auckland,
49,"Augusta-Richmond County, GA-SC MSA",United States,34185.0,624083,Augusta-Richmond County,GA-SC MSA
50,"Austin-Round Rock-Georgetown, TX MSA",United States,222054.0,2421115,Austin-Round Rock-Georgetown,TX MSA
51,"Bakersfield, CA MSA",United States,57541.0,916108,Bakersfield,CA MSA
52,Balikpapan-Samarinda Metropolitan,Indonesia,29901.0,2621877,Balikpapan-Samarinda Metropolitan,
53,Ballarat,Australia,4460.0,108491,Ballarat,
54,"Baltimore-Columbia-Towson, MD MSA",United States,241399.0,2835672,Baltimore-Columbia-Towson,MD MSA
55,Bandung Metropolitan,Indonesia,38290.0,8790308,Bandung Metropolitan,
56,Bangkok Metropolitan Region,Thailand,252128.0,19900000,Bangkok Metropolitan Region,
57,"Bangor, ME MSA",United States,8551.0,153704,Bangor,ME MSA
58,Banjarmasin Metropolitan,Indonesia,6017.0,2164485,Banjarmasin Metropolitan,
59,Baotou,China,40412.0,2709378,Baotou,
60,Barcelona metropolitan area,Spain,182524.0,5105991,Barcelona,
61,"Barnstable Town, MA MSA",United States,16351.0,232457,Barnstable Town,MA MSA
62,Barrie,Canada,6453.0,218377,Barrie,
63,Batam Metropolitan,Indonesia,16006.0,1885481,Batam Metropolitan,
64,"Baton Rouge, LA MSA",United States,62951.0,873060,Baton Rouge,LA MSA
65,"Battle Creek, MI MSA",United States,7728.0,133289,Battle Creek,MI MSA
66,"Bay City, MI MSA",United States,4592.0,102821,Bay City,MI MSA
67,"Beaumont-Port Arthur, TX MSA",United States,29007.0,393575,Beaumont-Port Arthur,TX MSA
68,"Beckley, WV MSA",United States,5187.0,113724,Beckley,WV MSA
69,Belfast,United Kingdom,255.0,671559,Belfast,
70,Belgrade,Serbia,2531.0,1430000,Belgrade,
71,"Belleville, Ontario",Canada,3814.0,113045,Belleville,Ontario
72,"Bellingham, WA MSA",United States,19595.0,230677,Bellingham,WA MSA
73,Belo Horizonte,Brazil,54996.0,4744599,Belo Horizonte,
74,"Bend, OR MSA",United States,13878.0,206549,Bend,OR MSA
75,Bendigo,Australia,3961.0,99416,Bendigo,
76,Bengaluru,India,110.0,13200000,Bengaluru,
77,Bergamo metropolitan area,Italy,40539.0,1102286,Bergamo,
78,Berlin/Brandenburg Metropolitan Region,Germany,271818.0,4679500,Berlin/Brandenburg Metropolitan Region,
79,Bhopal,India,535.0,2600000,Bhopal,
80,Bielefeld,Germany,1619.0,591862,Bielefeld,
81,Bielsko-Biała,Poland,10147.0,169756,Bielsko-Biała,
82,Bilbao metropolitan area,Spain,37568.0,1014366,Bilbao,
83,"Billings, MT MSA",United States,13208.0,190208,Billings,MT MSA
84,"Binghamton, NY MSA",United States,12659.0,244889,Binghamton,NY MSA
85,Birmingham,United Kingdom,391.0,3150000,Birmingham,
86,"Birmingham-Hoover, AL MSA",United States,79098.0,1116857,Birmingham-Hoover,AL MSA
87,"Bismarck, ND MSA",United States,8881.0,134846,Bismarck,ND MSA
88,"Blacksburg-Christiansburg, VA MSA",United States,9060.0,165812,Blacksburg-Christiansburg,VA MSA
89,"Bloomington, IL MSA",United States,14431.0,171141,Bloomington,IL MSA
90,"Bloomington, IN MSA",United States,9085.0,161227,Bloomington,IN MSA
91,"Bloomsburg-Berwick, PA MSA",United States,5205.0,83017,Bloomsburg-Berwick,PA MSA
92,Bocholt metropolitan area,Germany,16488.0,71074,Bocholt,
93,"Boise, ID MSA",United States,49947.0,811336,Boise,ID MSA
94,Bologna metropolitan area,Italy,45648.0,1017225,Bologna,
95,Bordeaux,France,73813.0,1100000,Bordeaux,
96,"Boston-Cambridge-Newton, MA-NH MSA",United States,504167.0,4900550,Boston-Cambridge-Newton,MA-NH MSA
97,"Boulder, CO MSA",United States,35608.0,327468,Boulder,CO MSA
98,"Bowling Green, KY MSA",United States,9794.0,185682,Bowling Green,KY MSA
99,Brantford,Canada,458.0,151620,Brantford,
100,Brasília,Brazil,65338.0,3548438,Brasília,
101,Brașov,Romania,8472.0,371802,Brașov,
102,Bratislava metropolitan area,Slovakia,33072.0,719537,Bratislava,
103,Breda,Netherlands,3323.0,324812,Breda,
104,Bremen,Germany,56517.0,1274429,Bremen,
105,"Bremerton-Silverdale-Port Orchard, WA MSA",United States,15477.0,277673,Bremerton-Silverdale-Port Orchard,WA MSA
106,Brescia metropolitan area,Italy,46603.0,1250527,Brescia,
107,Brest Métropole,France,32956.0,381226,Brest Métropole,
108,"Bridgeport-Stamford-Norwalk, CT MSA",United States,104368.0,962946,Bridgeport-Stamford-Norwalk,CT MSA
109,Brisbane,Australia,177.0,2388038,Brisbane,
110,Bristol,United Kingdom,223.0,465866,Bristol,
111,Brno,Czech Republic,30963.0,398510,Brno,
112,"Brownsville-Harlingen, TX MSA",United States,14259.0,425208,Brownsville-Harlingen,TX MSA
113,"Brunswick, GA MSA",United States,5933.0,114442,Brunswick,GA MSA
114,Brussels metropolitan area,Belgium,23708.0,2784967,Brussels,
115,Bucharest Metropolitan Area,Romania,78052.0,2200000,Bucharest Metropolitan Area,
116,Budapest metropolitan area,Hungary,8693.0,2625000,Budapest,
117,"Buffalo-Niagara Falls, NY MSA",United States,84673.0,1161192,Buffalo-Niagara Falls,NY MSA
118,"Burlington-South Burlington, VT MSA",United States,17478.0,227521,Burlington-South Burlington,VT MSA
119,"Burlington, NC MSA",United States,7889.0,176353,Burlington,NC MSA
120,Bursa,Türkiye,33641.0,3101833,Bursa,
121,Busan-Gyeongnam Area,South Korea,252145.0,7038129,Busan-Gyeongnam Area,
122,Bydgoszcz–Toruń metropolitan area,Poland,12417.0,752655,Bydgoszcz–Toruń,
123,Cádiz-Jerez metropolitan area,Spain,22971.0,639560,Cádiz-Jerez,
124,Caen,France,25054.0,395885,Caen,
125,Cairns,Australia,10709.0,153951,Cairns,
